id,isp_name,is_oversea
593,RedoubtNET,1
594,NetInformatik,1
595,ZitoMedia,1
596,Fibrenoire,1
597,InMotionHosting,1
598,Digicel,1
599,TMGcore,1
600,SkyLink,1
601,Constant,1
602,Hilltop,1
603,Vertex,1
604,GovFL,1
605,Speedwavz,1
606,tzulo,1
607,GoCodeIT,1
608,Twitch,1
609,OneWeb,1
610,Cyberri,1
611,Nuday,1
612,CoChen,1
613,Zayo,1
614,Polonet,1
615,Atlantic Metro,1
616,LuftCloud,1
617,加州大学伯克利分校,1
618,Windstream,1
619,Sudjam,1
620,Roblox,1
621,Flexential,1
622,TotalUptime,1
623,PavlovMedia,1
624,UGSWORLD,1
625,FranTech,1
626,ImagingBay,1
627,Antel,1
628,QTnet,1
629,CloudRadium,1
630,UDomain,0
631,NCCK,0
632,MaxxSouth,1
633,Ceranetworks,1
634,XeVPS,0
635,LayerHost,1
636,ServerMania,1
637,GoDaddy,1
638,Vinakom,1
639,Videotron,1
640,IKGlobal数据中心,0
641,Multacom,1
642,Fastly,1
643,巨牛云,0
644,Flow,1
645,傲游,1
646,朗桥维视,1
647,XNNET,1
648,FDCservers,1
649,Hostwinds,1
650,DoclerWeb,1
651,Breezeline,1
652,Netflix,1
653,51IDC,1
654,Kirino,1
655,BlackMesa,1
656,中国移动（香港）,0
657,Shaw,1
658,Klayer,1
659,CWC,1
660,Net3,1
661,龙腾网络,0
662,VPS圈,0
663,TPx,1
664,Hotwire Communications,1
665,Rackspace,1
666,Northland,1
667,Vyve,1
668,Suddenlink,1
669,Twcc,1
670,Cablevision,1
671,Phenix,1
672,Rogers,1
673,TDS,1
674,Aeneas,1
675,1und1,1
676,Midco,1
677,EastLink,1
678,Armstrong,1
679,Mediacom,1
680,Turksat,1
681,WorldLinx,1
682,TruVista,1
683,LightEdge,1
684,Databank,1
685,NewEagle,0
686,GCI,1
687,Optimum,1
688,靠谱云,0
689,DCTV数位有线,0
690,云瑞智通,0
691,WebHorizon,1
692,Antbox,1
693,Kakao,1
694,SCTV,1
695,Hathway,1
696,WorldLink,1
697,Symbio,1
698,Moratelindo,1
699,科盈电信,0
700,新飞金信,0
701,StarHub,1
702,Ishan,1
703,Reliance,1
704,易速网络,0
705,Airtel,1
706,VNL,1
707,Viettel,1
708,Connect,1
709,M1,1
710,Naver,1
711,VeeTIME,0
712,TOKAI,1
713,中国科技馆,0
714,GoldenFrog,0
715,数位光讯,0
716,DAOU,1
717,广电,0
718,台湾硕网,0
719,Vocus,1
720,WTP,0
721,SingNet,1
722,Mytel,1
723,PLDT,1
724,WiCAM,1
725,Tsukaeru,1
726,美团,0
727,地面通信息网络,0
728,ZTV,1
729,JCOM,1
730,Dhiraagu,1
731,TPLC,1
732,STNet,1
733,TechAvenue,0
734,Superloop,1
735,Oath,0
736,RichTopEC,1
737,PLNIconPlus,1
738,ULNetworks,1
739,CMB,1
740,NexusGuard,0
741,QLINKS,0
742,Mykris,1
743,Kronoz,1
744,SAKURA,1
745,亿联科技,0
746,金山云,0
747,奇虎360,0
748,WIA,1
749,Sunrise,1
750,Facebook,1
751,NeroCloud,1
752,Parsun,1
753,MTN,1
754,Sollutium,1
755,Sevlush,1
756,OBIT,1
757,Superonline,1
758,AlfaTelecom,1
759,Radore,1
760,BH Telecom,1
761,Nochost,1
762,MIRhosting,1
763,Atman,1
764,HostHatch,1
765,WINDTRE,1
766,DR,1
767,PODRYAD,1
768,Zain,1
769,ATB-Nett,1
770,euNetworks,1
771,Serverion,1
772,MasMovil,1
773,TurkNet,1
774,Signet,1
775,密歇根大学,1
776,密歇根州立大学,1
777,Merit,1
778,Lumen,1
779,新网,0
780,SonyNetwork,1
781,Sony,1
782,天威视讯,0
783,Lintasarta,1
784,Across,1
785,新浪,0
786,Telkom,1
787,360DNS,0
788,铁通,0
789,中国科技网,0
790,Cloudways,0
791,Satlink,1
792,华数传媒,0
793,FlxCloud,1
794,七牛云,0
795,66TO,0
796,Free,1
797,Nova,1
798,CDN77,1
799,CDNEXT,1
800,TMobile,1
801,Shatel,1
802,GRNET,1
803,Beltelecom,1
804,Triolan,1
805,CloudStar,1
806,BestDC,1
807,Estoxy,1
808,DTE,1
809,PTV Telecom,1
810,Tempest,1
811,Nasstar,1
812,Atom,1
813,Miku,1
814,Millenicom,1
815,PlusServer,1
816,SonyMobile,1
817,Linkt,1
818,Joyent,1
819,Vivacom,1
820,Ooredoo,1
821,AlexHost,1
822,System IT,1
823,PebbleHost,1
824,Xandr,1
825,EDGENAP,0
826,PEG,1
827,Nusanet,1
828,星云国际,0
829,MBT,1
830,Codoc,1
831,Oxio,1
832,安畅网络,1
833,首都在线,1
834,爱加速,1
835,DMGTV,0
836,SoNet,0
837,PTCL,1
838,KKN,1
839,KKtelecom,1
840,华云数据,0
841,亿速云,0
842,Lilly,1
843,TierPoint,1
844,Vodacom,1
845,TelecomEgypt,1
846,CellC,1
847,DimensionData,1
848,TOPNET,1
849,Limelight,1
850,OrangeMali,1
851,Tigo,1
852,CVTelecom,1
853,TENET,1
854,KtRN,1
855,Afrihost,1
856,Nokia,1
857,Intelsat,1
858,Atos,1
859,Vox,1
860,Paratus,1
861,SEACOM,1
862,Radware,1
863,Avanti,1
864,MarocTelecom,1
865,Onastra,1
866,CMC,1
867,Togocom,1
868,TunisieTelecom,1
869,ATI,1
870,TUNET,1
871,EOData,1
872,Bee,1
873,新世纪资通,0
874,LFCOM,0
875,广电,0
876,京宽网络,0
877,电联,0
878,Ufone,1
879,CNNIC,0
880,ISVC,1
881,BKNS,1
882,CMC Telecom,1
883,太平洋电信,0
884,唯一网络,0
885,世纪互联,0
886,网易云,0
887,苏宁,0
888,360,0
889,舒华士,0
890,LaoTelecom,1
891,MPT,1
892,维实嘉业,0
893,禾新数位,0
894,联想,0
895,纵横信息,0
896,HKNewCloud,0
897,永通电信,0
898,HSPnet,1
899,爱奇艺,0
900,ISL,0
901,新力讯,0
902,网鼎科技,0
903,葵芳电讯,0
904,Solnet,1
905,Netsec,0
906,龙江网络,0
907,华胜天成,0
908,RISE,1
909,小鸟云,0
910,天外天数位,0
911,银澎百盛云计算,0
912,UniLink,1
913,天网在线,0
914,慧聪网,0
915,企商在线,0
916,嘉华网络,0
917,蚂蚁金服,0
918,屹立由,0
919,蓝队网络,0
920,Siamdata,1
921,Unitel,1
922,云端时代,0
923,SD-CLOUD,0
924,ViewQwest,1
925,APNIC,0
926,Atlantic,1
927,GloVine,1
928,爱名网络,0
929,Dimension,0
930,TISP,0
931,MammothCloud,1
932,祥达信,0
933,蓝队云,0
934,沃尔玛,0
935,崇实大学,1
936,香港电讯,0
937,联科无限,0
938,优酷,0
939,是方电讯,0
940,NeocomISP,1
941,香港网络,0
942,Gigabitbank,0
943,OneNet,0
944,LinkChina,0
945,Layerstack,0
946,SMTeleMedia,1
947,GCX,1
948,LRData,1
949,中企动力,0
950,全时,0
951,天成网络,0
952,松江科技,0
953,昆腾,0
954,三信时代,0
955,Exetel,1
956,Hitron,0
957,IPTelecom,0
958,国超,0
959,东丰科技,0
960,蒲公英,0
961,SonderCloud,0
962,Voyager,1
963,新网络,0
964,和记环球电讯,0
965,网易,0
966,UIH,1
967,SKHT,0
968,星缘新动力,0
969,犀思云,0
970,世通在线,0
971,凤凰新媒体,0
972,Triumph,0
973,杭州赞云,0
974,光环新网,0
975,美团,0
976,云方舟,0
977,中立数据,0
978,互联通,0
979,青云,0
980,中科鸿基,0
981,HIERO7,1
982,GlobalNet,1
983,利通电讯,0
984,GES,1
985,有线电视,0
986,i4HK,0
987,网宿科技,0
988,NetActuate,0
989,NewMedia,1
990,CCNepal,1
991,Vodien,0
992,天域国际,0
993,蒲公英网络,0
994,互联互通,0
995,神威迅腾,0
996,92Cloud,0
997,酷牛网络,1
998,维实网络,0
999,西部数码,0
1000,HkCloudx,0
1001,Lokgaa,0
1002,BangkokVPS,1
1003,欧网网络,0
1004,OSHEAN,1
1005,SunnyVision,0
1006,聚友网络,0
1007,昂然云,1
1008,高新翼云科技,0
1009,人民网,0
1010,Mobitel,1
1011,威兆科技,0
1012,Nexon,1
1013,Colohost,0
1014,REDtone,1
1015,OpenNet,1
1016,CommuniLink,0
1017,联通,0
1018,Qwords,1
1019,HKGateway,0
1020,HGC环电,0
1021,Infozutek,0
1022,中信,0
1023,易信科技,0
1024,英特尔,0
1025,金山云,0
1026,平煤集团,0
1027,新觉互联,0
1028,Hytron,1
1029,阿比酷,0
1030,力通网络,0
1031,加州大学圣迭戈分校,1
1032,SURFnet,1
1033,UFINET,1
1034,WhiteLabelColo,1
1035,Mhnet Telecom,1
1036,Gigared,1
1037,TelxeTelecom,1
1038,DedFiberCo,1
1039,Melita,1
1040,Deltahost,1
1041,润网,0
1042,Digital-VM,1
1043,Colocation,1
1044,野草云,0
1045,Aventice,1
1046,BelWue,1
1047,DFN,1
1048,Virtono,1
1049,Expedient,1
1050,字节,1
1051,Converted,1
1052,Beanfield,1
1053,QuickPacket,1
1054,Nitel,1
1055,NetworkTransit,1
1056,VLAN24,1
1057,Dropbox,1
1058,Sharktech,1
1059,CrownCastle,1
1060,CincinnatiBell,1
1061,Hostodo,1
1062,DMIT,1
1063,Imperva,1
1064,Performive,1
1065,Web2objects,0
1066,Eons,0
1067,亿安,0
1068,DataCity,1
1069,GameServers,1
1070,台湾大宽频,0
1071,AGB,1
1072,Argon,1
1073,PhilCom,1
1074,KDT,1
1075,北都数位,0
1076,BhutanTelecom,1
1077,Spark,1
1078,Unifique,1
1079,Serverfield,1
1080,Proton,1
1081,Limenet,1
1082,Gaditek,1
1083,Linode VPS,1
1084,PragerIT,1
1085,31173 Services,1
1086,LogicWeb,1
1087,Greacon,0
1088,EstNOC,1
1089,Jisc,1
1090,TerraHost,1
1091,Alibaba,1
1092,VirginMedia,1
1093,CAT Telecom,1
1094,ELarge,0
1095,ChangWay,1
1096,Moack,1
1097,Bakker,1
1098,CloudClick,1
1099,UT,1
1100,Ctrls,1
1101,Vasai,1
1102,SingMeng,1
1103,宝联科技,0
1104,Syscon,1
1105,臣翊网络,0
1106,联华世纪,0
1107,新彰数位,0
1108,中经网,0
1109,百度云,1
1110,邦润科技,0
1111,墨尔本大学,1
1112,花卷科技,0
1113,互联港湾,0
1114,老虎云,0
1115,夏龙通信,0
1116,香港互联优势,0
1117,Zeofast,1
1118,二六三网络通信,0
1119,Telkomcel,1
1120,Railtel,1
1121,景安网络,0
1122,DataHub,1
1123,Emagine,0
1124,IPTP,0
1125,云桥通,0
1126,CMPak,1
1127,南凌科技,0
1128,Pacific,1
1129,IBM,1
1130,Dotname,1
1131,Skytap,1
1132,Invision,0
1133,Automattic,0
1134,AKCtv,1
1135,VHOST,1
1136,Reliance Jio,1
1137,NAXLEVEL,0
1138,CenturyOne,0
1139,Citm,0
1140,沃通,0
1141,柠檬电讯,0
1142,CloudGuard,0
1143,CBN,1
1144,OrientalVps,0
1145,Aryaka,1
1146,Origin,0
1147,TWIDC,0
1148,VNG,1
1149,SpeedClick,1
1150,Invermae,1
1151,Prager-IT,0
1152,Netinnovation,0
1153,罗格朗,1
1154,Link,0
1155,NetLab,1
1156,Vpsville,1
1157,Qnax,1
1158,HVM,1
1159,HEAnet,1
1160,Оhost,1
